Station Code,Location,Grid Reference,Easting,Northing,Date,Time,Q,NO2-N (mg/l),Q,NO3-N (mg/l),Q,P(SOL) (mg/l),Q,P(TOT) (mg/l),Q,TON (mg/l)
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,11/04/1997,1145,,,,,,1.09,,,,0.7
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,13/05/1997,1105,,,,,,0.31,,,,2.6
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,09/06/1997,1100,,,,,,2.36,,,,0.8
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,09/07/1997,1130,,,,,,1.15,,,,0.5
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,06/08/1997,1120,,,,,,0.77,,,,1.2
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,05/09/1997,1120,,,,,,0.18,,,,0.4
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,06/10/1997,1025,,0.12,,1.2,,0.56,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,04/11/1997,1105,,0.08,,0.48,,1.22,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,08/12/1997,1150,,0.03,,1.2,,0.13,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,15/01/1998,1110,,0.04,,2.3,,0.26,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,17/02/1998,1055,,0.07,,1.49,,1.59,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,18/03/1998,1120,,2.01,,5.2,,1.06,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,15/04/1998,1205,,0.04,,1.16,,0.59,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,14/05/1998,1115,,0.11,,0.9154,,1.57,,,,
10004,KILFENNAN BURN AT WOODBURN PARKLAND,C454167,,,15/06/1998,1110,,0.07,,0.9,,0.31,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,15/07/1998,1045,,0.07,,1.74,,0.21,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,14/08/1998,1100,<  ,0.02,,0.47,,0.09,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,11/09/1998,855,,0.09,,0.98,,0.76,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,12/10/1998,1115,,0.05,,1,,0.75,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,10/11/1998,1130,,0.02,,1.3,,0.16,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,09/12/1998,1130,,0.06,,1.5,,0.58,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,25/01/1999,1145,<  ,0.02,,1.1,,0.08,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,26/02/1999,1215,,0.02,,1.4,,0.18,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,22/03/1999,1130,,0.02,,0.4,,0.34,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,27/04/1999,1120,,0.07,,1.2,,0.9,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,26/05/1999,1115,,0.08,,0.7,,2.19,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,24/06/1999,955,,0.1,,0.95,,1.41,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,23/07/1999,1140,,0.1,,1.06,,0.81,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,23/08/1999,1115,,0.31,,0.55,,0.74,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,21/09/1999,1120,,0.03,,1.5,,0.12,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,21/10/1999,1155,,0.08,,0.72,,1.38,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,19/11/1999,945,,0.11,,1.38,,0.9,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,09/12/1999,1140,,0.02,,1.9,,0.05,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,31/01/2000,1115,,0.0401744,,1.45,,0.07,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,29/02/2000,1120,,0.014,,2.12,,0.03,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,30/03/2000,1130,,0.047,,2.324,,0.07,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/04/2000,1120,,0.016,,2.29,,0.04,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,31/05/2000,1120,,0.086,,0.14,,4.2,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,27/06/2000,1200,,0.082,,0.444,,5.49,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/07/2000,1130,,0.051,,0.71,,0.76,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,30/08/2000,1145,,0.108,,0.264,,2.55,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/09/2000,1115,,0.055,,1.84,,0.43,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,26/10/2000,1125,,0.057,,1.72,,0.21,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,27/11/2000,1130,,0.04,,1.659,,0.17,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,30/01/2001,1000,,0.05,,1.05,,0.14,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,01/03/2001,1200,,0.025,,1.386,,0.01,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,02/04/2001,1115,,0.118,,1.177,,0.77,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,25/04/2001,1115,,0.068,,0.93,,0.21,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,29/05/2001,1050,,0.075,,0.27,,1.98,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,29/06/2001,1145,,0.132,,1.61,,0.32,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,30/07/2001,1145,,0.112,,0.63,,8.2,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,30/08/2001,1150,,0.043,,0.25,,0.22,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/09/2001,1125,,0.147,<  ,0.05,,1.01,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,31/10/2001,1030,,0.068,,0.14,,0.08,,,,
